category,name,email,phone,facebook,instagram,logo,new_logo
wedding accessories,Antonio Manila,antoniomanilaph@gmail.com,0956 372 7663,https://www.facebook.com/AntonioMNLPH,,"https://static.wixstatic.com/media/f488d8_798cbeac612e4ca6a5497f75e4e426c2~mv2.jpeg/v1/fill/w_157,h_151,al_c,q_80,usm_0.66_1.00_0.01,enc_avif,quality_auto/76613093_10157457833386061_4880067254760243200_n.jpeg",/vendor-logos/antonio-manila.jpg
wedding accessories,By Olive D - handmade hair jewelry,hhmbyolive@gmail.com,0995 995 5775,,https://www.instagram.com/hhmbyolive,"https://static.wixstatic.com/media/f488d8_b2382fca08c24643a572b530011f9bf8~mv2.jpeg/v1/fill/w_157,h_151,al_c,q_80,usm_0.66_1.00_0.01,enc_avif,quality_auto/76613093_10157457833386061_4880067254760243200_n.jpeg","https://static.wixstatic.com/media/f488d8_b2382fca08c24643a572b530011f9bf8~mv2.jpeg/v1/fill/w_157,h_151,al_c,q_80,usm_0.66_1.00_0.01,enc_avif,quality_auto/76613093_10157457833386061_4880067254760243200_n.jpeg"
wedding accessories,Godfather Shoes,godfathershoes@gmail.com,0977 353 5737,https://www.facebook.com/GodfatherShoesPH,,"https://static.wixstatic.com/media/f488d8_98f3aff0990a4697a81c33eabf37d216~mv2.jpeg/v1/fill/w_157,h_151,al_c,q_80,usm_0.66_1.00_0.01,enc_avif,quality_auto/76613093_10157457833386061_4880067254760243200_n.jpeg","https://static.wixstatic.com/media/f488d8_98f3aff0990a4697a81c33eabf37d216~mv2.jpeg/v1/fill/w_157,h_151,al_c,q_80,usm_0.66_1.00_0.01,enc_avif,quality_auto/76613093_10157457833386061_4880067254760243200_n.jpeg"
wedding accessories,JMC Bridal Shoes,jmc.bridalshoes@gmail.com,0977 428 4896,https://www.facebook.com/profile.php?id=100064083723056,,"https://static.wixstatic.com/media/f488d8_c103d4e5e0f14d08abe013de350e2a50~mv2.jpg/v1/fill/w_157,h_151,al_c,q_80,usm_0.66_1.00_0.01,enc_avif,quality_auto/76613093_10157457833386061_4880067254760243200_n.jpg",/vendor-logos/jmc-bridal-shoes.jpg
wedding accessories,ORIAS,ordersoriasph@gmail.com,0917 525 0886,,,"https://static.wixstatic.com/media/706e28_7d83c327a89a4f17ad8db647ab992542~mv2.jpg/v1/fill/w_157,h_151,al_c,q_80,usm_0.66_1.00_0.01,enc_avif,quality_auto/76613093_10157457833386061_4880067254760243200_n.jpg",/vendor-logos/orias.png
wedding accessories,Satin is Life,sarmientojustyn@gmail.com,0976 035 2959,https://www.facebook.com/Satinislife,,"https://static.wixstatic.com/media/f488d8_b7154763c7dc4bbc9bb88012666856de~mv2.jpg/v1/fill/w_157,h_151,al_c,q_80,usm_0.66_1.00_0.01,enc_avif,quality_auto/76613093_10157457833386061_4880067254760243200_n.jpg",/vendor-logos/satin-is-life.png
wedding accessories,Sobre PH,sobreph.elleganta@gmail.com,0995 884 2414,https://www.facebook.com/sobre.ph.elleganta,,"https://static.wixstatic.com/media/f488d8_1a2eb4ababb04a34b26b0c6b8120ba12~mv2.jpg/v1/fill/w_157,h_151,al_c,q_80,usm_0.66_1.00_0.01,enc_avif,quality_auto/76613093_10157457833386061_4880067254760243200_n.jpg",/vendor-logos/sobre-ph.png
wedding accessories,The Wedding Library,inquire@weddinglibrary.com.ph,,,,"https://static.wixstatic.com/media/f488d8_c81bc6227bd841e9a6aa93754dd59865~mv2.jpeg/v1/fill/w_157,h_151,al_c,q_80,usm_0.66_1.00_0.01,enc_avif,quality_auto/76613093_10157457833386061_4880067254760243200_n.jpeg","https://static.wixstatic.com/media/f488d8_c81bc6227bd841e9a6aa93754dd59865~mv2.jpeg/v1/fill/w_157,h_151,al_c,q_80,usm_0.66_1.00_0.01,enc_avif,quality_auto/76613093_10157457833386061_4880067254760243200_n.jpeg"
wedding accessories,Unity Coins by Weddings At Work,unitycoinsbywaw@gmail.com,0917 850 1026,https://www.facebook.com/unitycoinsbywaw,,"https://static.wixstatic.com/media/f488d8_7de056d1062841ed912af5f4ecdd87f2~mv2.jpg/v1/fill/w_157,h_151,al_c,q_80,usm_0.66_1.00_0.01,enc_avif,quality_auto/76613093_10157457833386061_4880067254760243200_n.jpg",/vendor-logos/unity-coins-by-weddings-at-work.png
artisans pavilion,DC Paper Flowers,dcarao@yahoo.com,,https://www.facebook.com/DCpaperflowersmanila,,"https://static.wixstatic.com/media/f488d8_555b15f288bc455fb3b0241056bb2cb3~mv2.png/v1/fill/w_157,h_151,al_c,q_85,usm_0.66_1.00_0.01,enc_avif,quality_auto/76613093_10157457833386061_4880067254760243200_n.png",/vendor-logos/dc-paper-flowers.jpg
